序號,員工,上班日期,上班時間,下班時間,工時,異常狀態,
1,周宇澤,2017/06/26,09:12:06,19:44:43,10:32,,
2,周宇澤,2017/06/27,12:23:55,19:25:51,07:01,工時未滿8小時,
3,周宇澤,2017/06/28,12:44:38,23:04:27,10:19,,
4,周宇澤,2017/06/29,10:26:04,19:54:28,09:28,,
5,周宇澤,2017/06/30,10:06:23,19:10:41,09:04,,
6,周宇澤,2017/07/03,10:05:56,19:44:19,09:38,,
7,周宇澤,2017/07/04,10:13:41,19:40:32,09:26,,
8,周宇澤,2017/07/05,10:21:49,19:52:19,09:30,,
9,周宇澤,2017/07/06,10:44:40,19:32:02,08:47,工時未滿8小時,
10,周宇澤,2017/07/07,10:10:18,20:37:45,10:27,,
11,周宇澤,2017/07/10,10:28:59,20:13:52,09:44,,
12,周宇澤,2017/07/11,10:25:59,19:27:11,09:01,,
13,周宇澤,2017/07/12,10:57:13,22:03:21,11:06,,
14,周宇澤,2017/07/13,12:19:01,21:22:19,09:03,,
15,周宇澤,2017/07/14,10:30:05,20:18:05,09:48,,
16,周宇澤,2017/07/17,10:19:33,20:24:28,10:04,,
17,周宇澤,2017/07/18,10:21:01,19:55:46,09:34,,
18,周宇澤,2017/07/19,11:42:48,22:06:16,10:23,,
19,周宇澤,2017/07/20,10:41:58,22:38:51,11:56,,
20,周宇澤,2017/07/21,09:56:09,19:29:31,09:33,,
21,周宇澤,2017/07/24,,,,請確認是否有請假等相關紀錄,
22,周宇澤,2017/07/25,10:04:59,19:38:04,09:33,,
23,周世杰,2017/06/26,09:48:07,19:23:58,09:35,,
24,周世杰,2017/06/27,10:05:43,19:23:17,09:17,,
25,周世杰,2017/06/28,09:42:10,19:39:22,09:57,,
26,周世杰,2017/06/29,09:31:23,19:05:00,09:33,,
27,周世杰,2017/06/30,09:48:51,19:13:43,09:24,,
28,周世杰,2017/07/03,09:38:55,19:27:17,09:48,,
29,周世杰,2017/07/04,10:08:04,19:21:23,09:13,,
30,周世杰,2017/07/05,09:40:46,15:41:57,06:01,請確認下班是否打卡,
31,周世杰,2017/07/06,09:48:59,19:26:49,09:37,,
32,周世杰,2017/07/07,,,,請確認是否有請假等相關紀錄,
33,周世杰,2017/07/10,09:51:49,19:52:17,10:00,,
34,周世杰,2017/07/11,09:52:15,19:35:49,09:43,,
35,周世杰,2017/07/12,10:04:17,19:27:45,09:23,,
36,周世杰,2017/07/13,09:43:58,19:48:33,10:04,,
37,周世杰,2017/07/14,09:49:01,19:23:54,09:34,,
38,周世杰,2017/07/17,09:55:17,19:18:23,09:23,,
39,周世杰,2017/07/18,09:40:43,19:56:40,10:15,,
40,周世杰,2017/07/19,09:46:10,19:26:20,09:40,,
41,周世杰,2017/07/20,10:04:04,19:09:04,09:05,,
42,周世杰,2017/07/21,09:44:50,19:19:41,09:34,,
43,周世杰,2017/07/24,10:04:25,19:30:47,09:26,,
44,周世杰,2017/07/25,09:48:21,19:19:52,09:31,,
45,黃冠璋,2017/06/26,09:57:34,19:16:56,09:19,,
46,黃冠璋,2017/06/27,10:01:09,19:28:23,09:27,,
47,黃冠璋,2017/06/28,10:01:27,19:17:38,09:16,,
48,黃冠璋,2017/06/29,10:06:57,19:14:43,09:07,,
49,黃冠璋,2017/06/30,09:57:07,19:16:50,09:19,,
50,黃冠璋,2017/07/03,10:05:14,19:28:07,09:22,,
51,黃冠璋,2017/07/04,10:06:03,19:32:08,09:26,,
52,黃冠璋,2017/07/05,10:09:20,19:39:04,09:29,,
53,黃冠璋,2017/07/06,10:09:22,19:32:23,09:23,,
54,黃冠璋,2017/07/07,10:07:29,19:33:49,09:26,,
55,黃冠璋,2017/07/10,10:08:44,19:42:28,09:33,,
56,黃冠璋,2017/07/11,10:09:28,19:29:52,09:20,,
57,黃冠璋,2017/07/12,10:05:39,19:37:00,09:31,,
